ID;Categoria;Domanda;Risposta Corretta;R1;R2;R3
221;Food & Drink;Which Type Of Prepared Bread Is Named After An Opera Singer? ;Melba Toast ;Bullshot;Green;Vin (de la) maison 
222;Food & Drink;What can you do after eating a garlic doused Indian meal in order to prevent your breath smelling of garlic the day after? ;Drink a Lassie (yoghurt drink) to coat your throat ;Mocha;Bullshot;Rice 
223;Food & Drink;In 1999, which American retail giant announced that it was buying the Asda food retail chain? ;Wal-Mart ;Cock-A-Leekie ;Guns & Roses ;Milk 
224;Food & Drink;What is the minimum age for scotch whisky before it can be sold in the uk? ;3 Years ;Apricot;Apricot;Apples 
225;Food & Drink;Which Ancient Central American Civilisation Were Drinking Chocolate Milk As Long Ago As 600 BC ;Mayans ;Kosher ;3 Years ;Green
226;Food & Drink;Bourbon, sugar and mint make up which type of Cocktail ;Mint Julep ;A Small Casserole Dish ;Mayans ;Apricot
227;Food & Drink;In which dishes is sticky rice used? ;Sushi ;St. Louis;Sangria ;Japan
228;Food & Drink;Where was Budweiser first brewed?;St. Louis;Calamari ;Kosher ;Mayans 
229;Food & Drink;What European Country Is The consumer Of The Most Ice Cream ;Sweden ;An Apple ;Greece ;Chop Suey 
230;Food & Drink;Sweetbread is derived from this organ.;Pancreas;Maillard Reaction ;Chop Suey ;Blackcurrants 
231;Food & Drink;Which Food Stuff Has A Name Which Translates Into English As 'On A Skewer'? ;Kebab ;Cream ;Beluga;The Red Lion 
232;Food & Drink;Which vegetable is the principal ingredient of rosti? ;Potato ;Chop Suey ;Battenburg ;Melba Toast 
233;Food & Drink;In Which Country Was Gin Invented ;Holland ;Battenburg ;Jelly-beans ;Rice 
234;Food & Drink;Which fruit is used to make Calvados? ;Apples ;Saffron ;Shark ;Greece 
235;Food & Drink;Creme de Menthe and brandy make which cocktail? ;A Stinger ;South Africa ;Spinach ;Apricot 
236;Food & Drink;After Who Was The Sandwich Named ;The Earl Of Sandwich ;Caesar ;Vimto ;Mocha
237;Food & Drink;In Italy, if you were served pesce martello, what would you be about to eat? ;Shark ;Baked Alaska ;Spring Onions Or Shallots ;Sushi Restaurants 
238;Food & Drink;What Is A Ramekin ;A Small Casserole Dish ;Polo Mints ;A firkin ;Switzerland 
239;Food & Drink;The Name Of Which Chinese Dish Means 'Odds & Ends' ;Chop Suey ;USA ;Zabaglione ;Fish 
240;Food & Drink;What was the first name of Senor Cardini, the Mexican restaurateur who created a classic salad in 1924? ;Caesar ;Steely Dan ;Switzerland ;3 Years 
241;Food & Drink;What colour is creme de menthe?;Green;Pancreas;Rice ;Spinach 
242;Food & Drink;What Are Scallions ;Spring Onions Or Shallots ;Apricot;Sushi ;Olives 
243;Food & Drink;Who released the following 'edible' album 'Burnt weeny sandwich' ;Frank Zappa ;Brandy Alexander ;Monks ;An Apple 
244;Food & Drink;With what is champagne mixed to produce `Buck's Fizz'? ;Orange Juice ;Egg White ;Saffron ;Pancakes 
245;Food & Drink;What soft drink is advertised with the slogan, What's the worst that could happen? ;Dr Pepper ;Apricot ;Goodfellas ;Pig
246;Food & Drink;What do Americans call what the British call an iced-lolly? ;Popsicle ;Mint Julep ;Butter ;Guns & Roses 
247;Food & Drink;What Type Of Foodstuff Is Traditionally Eaten On Shrove Tuesday ;Pancakes ;Mayans ;A Small Casserole Dish ;Caesar 
248;Food & Drink;The Process Where Food Browns During Cooking Is Known As The What ;Maillard Reaction ;Chewing Guim ;Sushi Restaurants ;Potato 
249;Food & Drink;What Is The Principle Ingredient Of The Indian Dish Biryani ;Rice ;Butter ;Stinger;Salt 
250;Food & Drink;Booze Name: Vodka, consomme, lemon, tabasco sauce, salt, pepper, celery salt.;Bullshot;Rolemop ;Blackcurrants ;Maillard Reaction 
251;Food & Drink;Laetrile is associated with the pit of which fruit ;Apricot ;Milk ;Apricot;Spring Onions Or Shallots 
252;Food & Drink;How would you say 'house wine' in 'French' ;Vin (de la) maison ;Blackcurrants ;Potato ;White 
253;Food & Drink;What Is Albumen The Correct Term For ;Egg White ;Spinach ;Kebab ;Tea Leaves 
254;Food & Drink;What did Martin Stone invent in 1888 that millions of suckers use every day? ;The Drinking Straw ;Guns & Roses ;USA ;Little Water 
255;Food & Drink;Rioja Wine Comes From Which Country ;Spain ;The Old Bushmills, Cty Antrim ;Pig;USA 
256;Food & Drink;What would you buy from a Bodega? ;Wine ;Spring Onions Or Shallots ;Vin (de la) maison ;Egg Yolk 
257;Food & Drink;Wine vinegar, egg white and what other ingredient goes into making hollandaise sauce? ;Butter ;Rice ;Tea ;Kosher 
258;Food & Drink;What Is The Italian Name For Squid In A Restaurant? ;Calamari ;As A Cure For A Certain Mr Benedict's Hangover ;Little Water ;Baked Alaska 
259;Food & Drink;In which order do you drink lemon, salt & tequila? ;Salt, Tequila, Lemon ;Sushi Restaurants ;Salt ;A Small Casserole Dish 
260;Food & Drink;What Is The Most Expensive Spice ;Saffron ;Goodfellas ;Polo Mints ;Durian
261;Food & Drink;In which country would you expect to be served a yoghurt-based starter called 'tzatziki'? ;Greece ;Eight ;Durian;Brandy Alexander 
262;Food & Drink;What is the chief food for half the people in the world? ;Rice ;Stinger;Apples ;Chewing Guim 
263;Food & Drink;A Cappuccino Coffee Is Named After What ;Monks ;The Hairy Bikers ;Dr Pepper ;Vimto 
264;Food & Drink;Cocktails: Cognac (brandy) and white creme de menthe make a(n) ____________·.;Stinger;Pasta cooked firm ;The Drinking Straw ;Nestea
265;Food & Drink;In Scotland Which Soup Is Traditionally Served On Burns Night ;Cock-A-Leekie ;Lindisfarne Mead ;Almond;Apricot
266;Food & Drink;What does the phrase al dente mean? ;Pasta cooked firm ;Durian;Advocaat ;A firkin 
267;Food & Drink;What Does Vodka Actually Mean ;Little Water ;Rice ;Drink a Lassie (yoghurt drink) to coat your throat ;Tea 
268;Food & Drink;How Did Eggs Benedict Get It's Name ;As A Cure For A Certain Mr Benedict's Hangover ;India ;Cream ;Beetroot
269;Food & Drink;In which countries would you find the following city 'Whiskeytown'? ;USA ;The Earl Of Sandwich ;Egg White ;Beluga
270;Food & Drink;What Is The Main Ingredient In Advocaat ;Egg Yolk ;Sushi ;India ;Mint Julep 
271;Food & Drink;What is the most widely used seasoning ;Salt ;Egg Yolk ;Gin ;Sweden 
272;Food & Drink;What is the name of the two-coloured oblong cake covered in almond paste? ;Battenburg ;Fish ;Steely Dan ;Spain 
273;Food & Drink;What is the name of a small barrel of beer of nine gallons capacity? ;A firkin ;A firkin ;Beetroot;Cream 
274;Food & Drink;For what was licourice used in ancient Egypt? ;Medicine ;Dr Pepper ;As A Cure For A Certain Mr Benedict's Hangover ;Steely Dan 
275;Food & Drink;Which drink do you associate with Holy Island in Northumberland? ;Lindisfarne Mead ;Japan;Cock-A-Leekie ;Calamari 
276;Food & Drink;Laetrile is associated with the pit of which fruit?;Apricot;Beluga;Brandy Alexander ;Frank Zappa 
277;Food & Drink;"This spiny fruit with a pungent odor and rich yellow flesh is considered ""The King of Fruits"" by many southeast asians.";Durian;Jelly-beans ;Maillard Reaction ;Pasta cooked firm 
278;Food & Drink;What Would You Be Drinking If You Were Given Earl Grey ;Tea ;Vimto ;St. Louis;Zabaglione 
279;Food & Drink;Laetrile is associated with the pit of which fruit;Apricot;Spain ;The Old Bushmills, Cty Antrim ;A Stinger 
280;Food & Drink;"The mild stimulant ""theobromine"" is found in this common lip_smacker.";Chocolate;Tea Leaves ;Olives ;Eight 
281;Food & Drink;In which country is the wine making area of Stellenbosch? ;South Africa ;Tea ;Eight ;Monks 
282;Food & Drink;Often drunk, this liquid is normally harvested from female cows ;Milk ;Almond;Spain ;Drink a Lassie (yoghurt drink) to coat your throat 
283;Food & Drink;In the year 2000, what was the most popular sweet brand in the UK - Rowntree Fruit Pastilles, Starburst or Polo Mints? ;Polo Mints ;Kebab ;Pancakes ;Chocolate
284;Food & Drink;What Type Of Fruit Is A Russet ;An Apple ;Frank Zappa ;Pasta cooked firm ;Saffron 
285;Food & Drink;McDonald's 'Iced Tea' is actually this brand;Nestea;Nestea;Sweden ;Medicine 
286;Food & Drink;The Berries Of The Juniper Tree Are Used To Flavour Which Alcoholic Drink? ;Gin ;Potato ;Sturgeon ;Egg White 
287;Food & Drink;Which Nation Eats The Most Chocolate Per Capita (Per Head) ;Switzerland ;Shark ;White ;The Old Bushmills, Cty Antrim 
288;Food & Drink;Caviar Is A Delicacy That Comes From Which Fish ;Sturgeon ;Monks ;Wine ;Battenburg 
289;Food & Drink;Who released the following 'edible' album 'The spaghetti incident' ;Guns & Roses ;Sangria ;Rice ;Bullshot
290;Food & Drink;Often eaten for breakfast, bacon is actually the flesh of what barnyard animal?;Pig;Medicine ;A Stinger ;Polo Mints 
291;Food & Drink;What Fruit Is Used In Making 'Creme de Cassis' ;Blackcurrants ;Greece ;Mocha;Wal-Mart 
292;Food & Drink;What gives pasta its green colour? ;Spinach ;3 Years ;Holland ;Orange Juice 
293;Food & Drink;What is the main ingredient of Tapanade? ;Olives ;Holland ;Milk ;Sangria 
294;Food & Drink;Sapporo is brewed in this country.;Japan;Sturgeon ;Chocolate;Sturgeon 
295;Food & Drink;The French call it Sabayon, what do the Italians call it? ;Zabaglione ;The Red Lion ;The Earl Of Sandwich ;Jelly-beans 
296;Food & Drink;How many standard bottles of wine are in a Methuselah ;Eight ;White ;Egg Yolk ;Shark 
297;Food & Drink;What type of sweets was American President Ronald Reagan known for having on his desk? ;Jelly-beans ;Orange Juice ;South Africa ;The Drinking Straw 
298;Food & Drink;Which countrys does one associate with the following foods or drinks 'Dum Aloo' ;India ;The Drinking Straw ;Frank Zappa ;Pancreas
299;Food & Drink;Which soft drink was invented by the Nicholls family of Wythenshawe, near Manchester, during the 1900's and is sold in both still and sparkling forms? ;Vimto ;Zabaglione ;Rolemop ;The Earl Of Sandwich 
300;Food & Drink;Which Brand Of Pizza Was Also The Title Of A 1990 Movie ;Goodfellas ;Popsicle ;Orange Juice ;Almond
301;General;Juliet 'i melt with you' was which band's signature hit released on their 'after the snow' album in 1982;Modern english;White rosebud;Long words;All for one & one for all
302;General;How many gallons of fuel does a jumbo jet use during take off?;Four thousand;Kepler;An Oyster;Purple
303;General;The Paris stock exchange;Bourse;Johns hopkins;Soweto;Bingo
304;General;What game of chance was originally called 'Beano';Bingo;Crimean;King vidor;Pommel
305;General;What is the motto of the three muskateers;All for one & one for all;Marcus brody;Japanese pottery;Proton
306;General;What is the flower that stands for: a heart ignorant of love;White rosebud;You light up my;Berylium;Carletonville South Africa
307;General;"Who sang ""I Want My MTV"" on the Dire Straits song ""Money For Nothing""?";Sting;Beaver;Blue;Umbilical cord
308;General;"Before Hitting The Big Time As A Singer & Tv Personality What Was ""Perry Como's "" Profession";A Barber / Hair Dresser;Gaggle;25 years;Solitude, being alone
309;General;Seventeen thousand how many camels carried the 117,000 volumes of abdul kassem ismael's library;400;Celestial city;Sweden;Cirrus - clouds
310;General;Under Michigan State law who are officially classed mechanics;Dentists;Vibraphone;Cos x;Aretha Franklin
311;General;Medieval monks invented this stopper, necessary for champagne;Cork;Four thousand;Buddy arrington;Bonnet
312;General;In the body luteinizing hormone is produced by what gland;Pituitary;First British Female MP;Celestial city;A Barber / Hair Dresser
313;General;What are the stars in traditional Cornish Star Gazey pie;Pilchards eyes;Jack dempsey;Umbilical cord;Soweto
314;General;What is raku;Japanese pottery;Bingo;Japan Tue Wed Thu;Modern english
315;General;Proverbially it was a bold man who first ate what;An Oyster;Canada;Kepler;Calcium
316;General;What countries days include Fire day, Water day and wood day;Japan Tue Wed Thu;Zanzibar;Assay;Sydney harbour bridge
317;General;In golf what would you put in your shag bag;Practice Balls;Renzo Piano;Melmac;Dentists
318;General;Constance Markiewicz, Became The Worlds First Ever What In 1918?;First British Female MP;Stockholm;Solitude, being alone;Nikkei
319;General;Burning potassium has what colour flame;Purple;Leicestershire;Hubble;Cos x
320;General;"Who directed the monochrome (sepia) sequences at the beginning and end of ""the wizard of oz"" (1939)";King vidor;The Fimbles;Gaggle;Lansing
321;General;What is the cap on the fire hydrant called;Bonnet;Contraceptive;Jack dempsey;Brandy Cointreau Lemon juice
322;General;What dodgers and cubs first-baseman dropped baseball to take up actin;Chuck;Muscles;Aretha Franklin;1905
323;General;Which usical instrument was invented by Henry Schluter?;Vibraphone;Iran;Blue Yellow Black Green Red;Canada
324;General;How long is a silver anniversary;25 years;Sting;Bullfighting;400
325;General;Test of metal or ore for ingredients and quality;Assay;Sean;Renzo Piano;Alma mater
326;General;What is a woolly bear;Caterpillar;James;Rowing means using a single oar;Bullfighting
327;General;What is the name of the telescope that was placed in orbit in the eighties?;Hubble;Melmac;Drinking - Alcohol;Elvis
328;General;Where was The Beast, the first mobile robot, developed;Johns hopkins;Pilchards eyes;1905;Vibraphone
329;General;The province of Alberta in Canada has been completely free of rats since what year;1905;Cork;White rosebud;Australia
330;General;Arlanda is the airport which serves which European city;Stockholm;Assay;Fell off toilet;Chicago
331;General;What is a group of geese called;Gaggle;Burt;Stockholm;Practice Balls
332;General;The last Nascar driver to serve jail time for running moonshine was who;Buddy arrington;Proton;Canada;James
333;General;"Which Capital City Is Home To ""Carrasco"" International Airport";Montevideo (Uruguay);Practice Balls;Bull bar;White rosebud
334;General;The worlds what museum is at 19 Green belt North York Ontario;Contraceptive;Bull bar;Zanzibar;Kepler
335;General;What is hippopotomonstrosesquippedaliophobia the fear of?;Long words;Montevideo (Uruguay);Harold Washington;Blue
336;General;Metal framework on a vehicle to protect it in the event of a collision with a large animal;Bull bar;Dentists;Nikkei;25 years
337;General;What is a Bellwether;Leader of flock of sheep;Elvis;Leicestershire;Assay
338;General;As what is 'South West Township' known in south africa;Soweto;1905;Cork;Beaver
339;General;What is the most important mineral for strong bones & teeth;Calcium;Blue;Anne Bancroft;Virgins
340;General;Of who did the u.s postal service print 500 million stamps in 1993;Elvis;Bullfighting;Four thousand;Rowing means using a single oar
341;General;What is 'bountiful mother' in latin;Alma mater;Modern english;Vending machines;You light up my
342;General;What was the name of john lennon and cynthia lennon's son;Sean;Helen Mirren;Strategic arms limitation treaty;Burt
343;General;Lake Vanern is the largest lake in which country;Sweden;Strategic arms limitation treaty;Muscles;Bull bar
344;General;What is the missing word in english with the letter combination 'uu' vacuum, muumuu, continuum, residuum, duumvir;Duumvirate;Carletonville South Africa;Ben hur;Drinking - Alcohol
345;General;Isolophobia is the fear of;Solitude, being alone;Vending machines;400;Stutters / Stammers
346;General;Name the wife of King Ahab, who Jehu ordered to be thrown to her death from a window;Jezebel;Bonnet;Montevideo (Uruguay);Leicestershire
347;General;If not Shakespeare what links Juliet Cleopatra Mark Antony;Commit Suicide;Latin;Pilchards eyes;Tourists bribes taken
348;General;Who was the first person to prove that planets move in elliptical orbits;Kepler;A Barber / Hair Dresser;Commit Suicide;Fell off toilet
349;General;Who was the first black mayor of Chicago?;Harold Washington;All for one & one for all;Duumvirate;Blue Yellow Black Green Red
350;General;Which architect designed London's tallest building The Shard?;Renzo Piano;Jezebel;The Fimbles;An Oyster
351;General;"Which meteorological phenomena means ""a curl of hair"" in Latin";Cirrus - clouds;Japanese pottery;Pommel;Strategic arms limitation treaty
352;General;Originally a Toss Pot did a lot of what;Drinking - Alcohol;Stutters / Stammers;Chuck;Marcus brody
353;General;What country is Men Without Hats originally from?;Canada;Sweden;Johns hopkins;Leader of flock of sheep
354;General;What Did Bruce Willis, Harvey Keitel & Winston Churchill All have to overcome?;Stutters / Stammers;Lansing;Pituitary;Bourse
355;General;What 3 ingredients make a sidecar cocktail;Brandy Cointreau Lemon juice;Brandy Cointreau Lemon juice;James;Mantissa
356;General;Anna Maria Louisa Italiano changed her name to what;Anne Bancroft;Ben hur;Alma mater;Hubble
357;General;An Aficionado originally followed what sport;Bullfighting;Cos x;Modern english;Renzo Piano
358;General;Which U.S. boxer was known as 'The Manessa Mauler';Jack dempsey;Duumvirate;Leader of flock of sheep;Melmac
359;General;What does a Stupprator prefer sexually;Virgins;Calcium;Mantissa;Harold Washington
360;General;An elephant has 400000 what in its trunk;Muscles;Nikkei;Chicago;Kittens
361;General;The Zagros mountain range is in which country;Iran;Kittens;Kittens;Japanese pottery
362;General;In South Korea traffic police must report what;Tourists bribes taken;Purple;Bourse;Pituitary
363;General;What does SALT stand for;Strategic arms limitation treaty;Long words;Sean;First British Female MP
364;General;Which chemical element has the atomic number 4?;Berylium;Chuck;Cirrus - clouds;Vending machines
365;General;Who had a hit no 5 in US 1971 with Bridge over Troubled Water;Aretha Franklin;Oscar wilde;Jezebel;Jezebel
366;General;What country covers an entire continent;Australia;Aretha Franklin;Sydney harbour bridge;Four thousand
367;General;Who was responsible for driving the english out of scotland in 1297;William;Anne Bancroft;Proton;King vidor
368;General;What is the front of a saddle called?;Pommel;Fell off toilet;Calcium;Pilchards eyes
369;General;Fried Chicken Strawberry Shortcake trad Xmas eve meal where;Japan;The JCB Earth Mover;Iran;Japan Tue Wed Thu
370;General;U.S. Captials - Michigan;Lansing;Solitude, being alone;Oscar wilde;William
371;General;Which epic film was based on a novel by Lew Wallace;Ben hur;25 years;Dentists;Latin
372;General;What are the young of a rabbit called;Kittens;Leader of flock of sheep;A Barber / Hair Dresser;Celestial city
373;General;What planet did Alf come from?;Melmac;Australia;Lansing;Oscar wilde
374;General;Who wrote dionne warwick's 'walk on by' and 'say a little prayer';Burt;William;First British Female MP;Commit Suicide
375;General;What is the technical difference between rowing and sculling;Rowing means using a single oar;Chicago;You light up my;Japan
376;General;Outside poland, where is the largest polish population;Chicago;Rowing means using a single oar;Carletonville South Africa;Buddy arrington
377;General;In The Film Saving Private Ryan What Was Private Ryan's First Name?;James;Virgins;Beaver;Long words
378;General;"What song won the grammy for ""song of the year"" in 1977";You light up my;Pituitary;Contraceptive;Helen Mirren
379;General;How did George II die;Fell off toilet;Umbilical cord;Burt;Anne Bancroft
380;General;Electric, Perse and smalt shades of which colour;Blue;Mantissa;Vibraphone;Jack dempsey
381;General;Every day in the US people steal $20000 from where;Vending machines;Cirrus - clouds;William;Iran
382;General;"Who wrote ""The Picture of Dorian Grey""";Oscar wilde;Soweto;Virgins;Stockholm
383;General;Indiana jones: who was known to get lost in his own museum;Marcus brody;Sydney harbour bridge;Australia;Sweden
384;General;"In Which Childrens TV Show Will You Find The Characters Of ""Florrie & Baby Pom""";The Fimbles;King vidor;Sting;Caterpillar
385;General;Mr Chips said goodbye from Brookfield school - What subject;Latin;Berylium;Purple;Johns hopkins
386;General;Where is the worlds largest mine;Carletonville South Africa;Alma mater;Caterpillar;Zanzibar
387;General;Florence Nightingale tended the soldiers in which war;Crimean;400;Practice Balls;Chuck
388;General;What is the name of the cord joining a mother & her unborn child;Umbilical cord;Japan;Tourists bribes taken;Contraceptive
389;General;What Is Joseph Cyril Bamfords Claim To Fame?;The JCB Earth Mover;An Oyster;Helen Mirren;Sean
390;General;An atom is comprized of these 3 subatomic particles: electron, neutron, & _____;Proton;Pommel;Bonnet;Muscles
391;General;What are the colours of the Olympics rings (in order).?;Blue Yellow Black Green Red;Hubble;Crimean;Berylium
392;General;Who Was The First Woman To Appear Naked On The Front Cover Of The Radio Times;Helen Mirren;Tourists bribes taken;Bingo;Cork
393;General;What was known as the spice island;Zanzibar;Caterpillar;All for one & one for all;Gaggle
394;General;In which county is Charnwood Forest;Leicestershire;Japan Tue Wed Thu;Latin;Sting
395;General;What is the name of the Tokyo Stock Market Index;Nikkei;Blue Yellow Black Green Red;Japan;Crimean
396;General;In The Pilgrim's Progress, which city of Christian's final destination;Celestial city;Commit Suicide;Stutters / Stammers;Duumvirate
397;General;What is the derivative of sin x;Cos x;Bourse;Elvis;The Fimbles
398;General;What name is given to the fraction part of a logarithm number?;Mantissa;Buddy arrington;Marcus brody;The JCB Earth Mover
399;General;Ralph Freeman designed which Australian landmark;Sydney harbour bridge;Harold Washington;Brandy Cointreau Lemon juice;Montevideo (Uruguay)
400;General;What animals teeth were used as knife blades by the Indians;Beaver;Drinking - Alcohol;The JCB Earth Mover;Ben hur
401;Geography;What is the capital of Philippines ?;Manila;Oman;The Bronx;Litas
402;Geography;What is the highest mountain in the Appalachian range?;Mt. Mitchell;Madagascar;The Vatican City;Amsterdam
403;Geography;What is the capital of North Carolina?;Raleigh;Egypt;Calgary;Monrovia
404;Geography;What is the capital of Liberia ?;Monrovia;Brasilia;Virginia;Bay Of Bengal
405;Geography;What is the only country in the world whose name starts with 'O'?;Oman;Tennessee;Dinar;Legume
406;Geography;Which Central American country extends furthest north?;Belize;Litas;Dollar;Djibouti
407;Geography;What country is directly north of the continental United States?;Canada;Dollar;Bouvet Island;The Bronx
408;Geography;What is the largest island in the Indian Ocean?;Madagascar;Mt. Mitchell;Rupee;Europe
409;Geography;What country borders Libya on the East?;Egypt;Albania;Canada;Oman
410;Geography;Into which bay does the Golden Gate Strait lead?;San Francisco Bay;Rio Grande;Cardiff;Tennessee
411;Geography;Which city is known as Motown?;Detroit;Djibouti;Dollar;Balboa
412;Geography;What is the basic unit of currency for Uzbekistan ?;Sum;Hungary;Australia;Canada
413;Geography;Name the capital of Brazil.;Brasilia;Athens;Four;Dirham
414;Geography;What is the basic unit of currency for Solomon Islands ?;Dollar;Gabon;Bank and Monument;Tegucigalpa
415;Geography;Libreville is the capital of ______?;Gabon;North Africa;Minsk;Agana
416;Geography;Tirana is the capital of ______?;Albania;Amsterdam;Asia;Cardiff
417;Geography;Budapest is the capital of ______?;Hungary;Bank and Monument;Shannon;Brasilia
418;Geography;What is the capital of Gambia ?;Banjul;Manat;Denver;Calgary
419;Geography;Into what sea does the Elbe River flow?;North Sea;Peru;Hungary;Banjul
420;Geography;What country borders Egypt to the South?;Sudan;Dollar;Brasilia;Australia
421;Geography;What is the capital of Kansas?;Topeka;Rocky;Amsterdam;Bouvet Island
422;Geography;Which mainland Latin American country is in neither South America nor Central America?;Mexico;Moscow;South America;Iraq
423;Geography;What is the basic unit of currency for Morocco ?;Dirham;Las Vegas;Detroit;Casablanca
424;Geography;What is the basic unit of currency for Switzerland ?;Franc;Raleigh;Dinar;Spain
425;Geography;What is the capital of Luxembourg?;Luxembourg;George Washington Bridge;Manila;Calcium
426;Geography;What is the basic unit of currency for Cameroon ?;Franc;East;Tunis;Mt. Mitchell
427;Geography;Where is the Machu Picchu?;Peru;North Sea;Iraq;Madagascar
428;Geography;Which is the most remote island in the southern atlantic ocean?;Bouvet Island;Asia;Las Vegas;Albania
429;Geography;In which continent would you find the Amur river ?;Asia;Dinar;Gabon;North Sea
430;Geography;Which element makes up 3.63% of the Earth's crust ?;Calcium;Dollar;North Sea;Dinar
431;Geography;What is the capital of Algeria ?;Algiers;Hungary;Topeka;Ghana
432;Geography;In what mountain range is Kicking Horse Pass?;Rocky;Shilling;Rocky;Minsk
433;Geography;What is the principal river of Ireland?;Shannon;Luxembourg;Litas;Kishinev
434;Geography;What is the basic unit of currency for Qatar ?;Riyal;Spain;Athens;Sydney
435;Geography;What country has a birth rate of 0?;The Vatican City;Denver;Albania;Tunis
436;Geography;What is the basic unit of currency for Nauru ?;Dollar;Asia;Pennsylvania;Denver
437;Geography;What is the basic unit of currency for Sudan ?;Dinar;India;Dollar;Bank and Monument
438;Geography;What is the capital of Tunisia ?;Tunis;Legume;Raleigh;Gabon
439;Geography;Which is the Earth's second smallest continent ?;Europe;Dollar;Casablanca;Dollar
440;Geography;Which country has Budapest as its capital?;Hungary;Detroit;Monrovia;Franc
441;Geography;What is the capital of Moldova?;Kishinev;Dinar;Belize;Tashkent
442;Geography;Which is the only musical bird that can fly backwards?;Hummingbird;Muscat;Algiers;Riyal
443;Geography;To what country does the Gaza Strip belong?;Egypt;Thimphu;Tegucigalpa;Egypt
444;Geography;What is the basic unit of currency for Brunei ?;Dollar;Franc;Rupee;Muscat
445;Geography;What is the basic unit of currency for Afghanistan ?;Afghani;Tegucigalpa;Thimphu;Asia
446;Geography;What is the capital of Bhutan ?;Thimphu;Minsk;Muscat;South America
447;Geography;What is the basic unit of currency for Panama ?;Balboa;Brasilia;Legume;Detroit
448;Geography;Where is the world's largest desert?;North Africa;Canada;Hungary;Chisinau
449;Geography;Djibouti is the capital of ______?;Djibouti;The Bronx;Maseru;Rupee
450;Geography;Where is Gorky Park?;Moscow;Zagreb;Bay Of Bengal;Sudan
451;Geography;This Moslem republic in asia was formerly part of India.;Pakistan;Calgary;Mt. Mitchell;Madison
452;Geography;What is the capital of Lesotho ?;Maseru;Kishinev;Madagascar;Hungary
453;Geography;On the London Underground, which station has a different name on two of its platforms?;Bank and Monument;Tunis;Sum;Rupee
454;Geography;What is the basic unit of currency for Sri Lanka ?;Rupee;Sydney;Sudan;Virginia
455;Geography;Nashville is the capital of ______?;Tennessee;Banjul;North Africa;Dollar
456;Geography;What is the basic unit of currency for Nepal ?;Rupee;Chisinau;Oman;Thimphu
457;Geography;What is the capital of Moldova ?;Chisinau;Ghana;Dinar;Athens
458;Geography;Which is the Earth's smallest continent ?;Australia;San Francisco Bay;Djibouti;Las Vegas
459;Geography;Which city has the largest rodeo in the world?;Calgary;Mexico;East;Raleigh
460;Geography;How many stars are on the flag of New Zealand?;Four;Afghani;Riyal;Franc
461;Geography;What is the capital of Oman ?;Muscat;Algiers;Sydney;Hummingbird
462;Geography;What is the capital of Uzbekistan ?;Tashkent;Balboa;Madison;Dollar
463;Geography;What is the capital of Belarus ?;Minsk;Europe;Egypt;Dinar
464;Geography;What 'I' was once Mesopotamia?;Iraq;South America;Banjul;Hungary
465;Geography;What is a peanut if it is not a pea or a nut?;Legume;Casablanca;Agana;George Washington Bridge
466;Geography;Which large city is on the Southeastern coast of Australia?;Sydney;Rupee;Egypt;Pakistan
467;Geography;What is the basic unit of currency for Guinea ?;Franc;Belize;Tennessee;Maseru
468;Geography;Name the largest river forming part of the U.S. - Mexican border.;Rio Grande;Pennsylvania;Brasilia;Mexico
469;Geography;What is the capital of Wales?;Cardiff;North America;Dirham;Four
470;Geography;What is the basic unit of currency for Australia ?;Dollar;Iraq;Franc;Rocky
471;Geography;What unit of currency will buy you dinner in Iraq, Jordan, Tunisia, and Yugoslavia?;Dinar;Agana;India;Belize
472;Geography;What is the capital of Brazil?;Brasilia;Texas;Hummingbird;Manila
473;Geography;What is the second largest state in the USA?;Texas;Monrovia;Franc;Pennsylvania
474;Geography;What is the capital of The Netherlands ?;Amsterdam;Australia;Dollar;Texas
475;Geography;What seaport's name is spanish for 'white house'?;Casablanca;Tashkent;San Francisco Bay;Asia
476;Geography;In which continent would you find the Lena river ?;Asia;Franc;Spain;North America
477;Geography;In which continent would you find the Amazon river ?;South America;Manila;Luxembourg;Brasilia
478;Geography;What is the basic unit of currency for Jordan ?;Dinar;Cardiff;Balboa;Luxembourg
479;Geography;What is the basic unit of currency for Lithuania ?;Litas;Dollar;Pakistan;Shannon
480;Geography;Accra is the capital of ______?;Ghana;Egypt;Tashkent;Algiers
481;Geography;What is the capital of Wisconsin?;Madison;Maseru;Calcium;East
482;Geography;Which country hosted the 1982 World Cup of soccer?;Spain;Franc;Europe;Zagreb
483;Geography;Into what bay does the Ganges River flow?;Bay Of Bengal;Riyal;North America;Manat
484;Geography;Which city is home to the 4th largest pyramid in the world?;Las Vegas;Four;Zagreb;Dollar
485;Geography;What is the basic unit of currency for Azerbaijan ?;Manat;Shannon;Japan;Egypt
486;Geography;What is the capital of Honduras ?;Tegucigalpa;Calcium;George Washington Bridge;Topeka
487;Geography;In which continent would you find the Mississippi river ?;North America;Sum;Dollar;San Francisco Bay
488;Geography;In which state is Mount Vernon?;Virginia;The Vatican City;Ghana;India
489;Geography;Which country has a flag of a red circle on a white background ?;Japan;Virginia;Afghani;Afghani
490;Geography;What is the basic unit of currency for Tanzania ?;Shilling;Bay Of Bengal;Chisinau;Shilling
491;Geography;What is the capital of Guam?;Agana;Rupee;Shilling;Peru
